
Name                          Version          Source       Updated             Info
----                          -------          ------       -------             ----
7zip                          25.01            main         2025-08-11 10:19:17 
alacritty                     0.16.1           extras       2025-10-21 16:24:10 
bat                           0.26.1           main         2025-12-03 16:43:28 
bottom                        0.12.3           main         2026-01-06 10:40:34 
cmake                         4.2.3            main         2026-02-02 10:01:23 
codex                         0.99.0           main         2026-02-12 11:21:58 
curl                          8.18.0_4         main         2026-02-05 16:32:52 
dbeaver                       25.3.4           extras       2026-02-02 10:02:07 
docker                        29.2.1           main         2026-02-03 10:12:49 
eza                           0.23.4           main         2025-10-08 10:55:34 
fd                            10.3.0           main         2025-08-26 10:28:30 
ffmpeg                        8.0.1            main         2025-11-25 11:13:05 
flatc                         25.12.19         main         2026-01-06 10:41:01 
fselect                       0.9.2            main         2025-12-12 15:21:43 
fzf                           0.67.0           main         2025-11-17 12:44:24 
gh                            2.86.0           main         2026-01-26 06:40:51 
gimp                          3.0.8-2          extras       2026-02-11 11:21:26 
git                           2.53.0           main         2026-02-03 10:38:34 
go                            1.26.0           main         2026-02-11 11:22:57 
gpg4win                       5.0.1            extras       2026-02-02 10:06:08 
gsudo                         2.6.1            main         2025-10-08 10:57:30 
harper                        1.7.0            main         2026-02-12 11:22:01 
helix                         25.07.1          main         2025-07-21 12:13:18 
innounp                       2.67.3           main         2026-02-02 10:06:10 
jid                           0.7.6            main         2025-03-06 17:28:23 
jq                            1.8.1            main         2025-07-02 10:55:12 
just                          1.46.0           main         2026-02-05 16:31:50 
less                          692              main         2026-02-11 11:22:58 
llvm                          21.1.8           main         2026-01-06 10:42:05 
lua-language-server           3.17.1           main         2026-01-20 09:58:09 
msbuild-structured-log-viewer 2.3.139          extras       2026-02-11 11:23:02 
nasm                          3.01             main         2025-10-14 11:25:54 
neovide                       0.15.2           extras       2025-09-23 08:57:51 
neovim                        0.11.6           main         2026-02-02 10:06:24 
ninja                         1.13.2           main         2025-11-25 11:14:10 
nmap                          7.98             main         2025-08-25 11:39:34 
nodejs                        25.6.1           main         2026-02-11 11:23:19 
notepadplusplus               8.9.1            extras       2026-02-02 10:06:44 
nu                            0.110.0          main         2026-01-20 09:58:27 
octave                        10.3.0           main         2025-10-14 11:32:40 
oh-my-posh                    29.3.0           main         2026-02-12 11:22:06 
openssh                       10.0.0.0p2       main         2025-11-12 12:44:40 
perl                          5.42.0.1         main         2025-08-11 10:26:03 
process-explorer              17.09            sysinternals 2026-01-06 10:42:28 
putty                         0.83             extras       2025-03-06 17:45:41 
pwsh                          7.5.4            main         2025-10-29 23:55:52 
qt-creator                    18.0.2           extras       2026-02-02 10:07:33 
rio                           0.2.37           extras       2026-01-06 10:42:32 
ripgrep                       15.1.0           main         2025-10-23 11:33:07 
rustup                        1.28.2           main         2025-04-16 10:59:37 
slack                         4.47.69          extras       2025-12-12 15:23:41 
starship                      1.24.2           main         2026-01-06 10:42:35 
sysinternals                  20260206         extras       2026-02-11 11:23:41 
tre-command                   0.4.0            main         2025-03-13 18:16:24 
unzip                         6.00             main         2025-03-06 17:52:48 
vcredist2022                  14.50.35719.0    extras       2026-01-06 10:44:57 
vim                           9.1.2094         main         2026-02-11 11:23:59 
vivaldi                       7.8.3925.62      extras       2026-02-12 11:21:45 
wezterm-nightly               nightly-20250314 versions     2025-03-14 09:19:37 
windows-terminal              1.23.20211.0     extras       2026-01-26 06:42:56 
yarn                          1.22.22          main         2025-04-14 19:42:10 
zoxide                        0.9.9            main         2026-02-02 10:07:34 

